isRaceOn,timestampMS,engineMaxRpm,engineIdleRpm,currentEngineRpm,accelerationX,accelerationY,accelerationZ,velocityX,velocityY,velocityZ,angularVelocityX,angularVelocityY,angularVelocityZ,yaw,pitch,roll,normalizedSuspensionTravelFrontLeft,normalizedSuspensionTravelFrontRight,normalizedSuspensionTravelRearLeft,normalizedSuspensionTravelRearRight,tireSlipRatioFrontLeft,tireSlipRatioFrontRight,tireSlipRatioRearLeft,tireSlipRatioRearRight,wheelRotationSpeedFrontLeft,wheelRotationSpeedFrontRight,wheelRotationSpeedRearLeft,wheelRotationSpeedRearRight,wheelOnRumbleStripFrontLeft,wheelOnRumbleStripFrontRight,wheelOnRumbleStripRearLeft,wheelOnRumbleStripRearRight,wheelInPuddleDepthFrontLeft,wheelInPuddleDepthFrontRight,wheelInPuddleDepthRearLeft,wheelInPuddleDepthRearRight,surfaceRumbleFrontLeft,surfaceRumbleFrontRight,surfaceRumbleRearLeft,surfaceRumbleRearRight,tireSlipAngleFrontLeft,tireSlipAngleFrontRight,tireSlipAngleRearLeft,tireSlipAngleRearRight,tireCombinedSlipFrontLeft,tireCombinedSlipFrontRight,tireCombinedSlipRearLeft,tireCombinedSlipRearRight,suspensionTravelMetersFrontLeft,suspensionTravelMetersFrontRight,suspensionTravelMetersRearLeft,suspensionTravelMetersRearRight,carOrdinal,carClass,carPerformanceIndex,drivetrainType,numCylinders,positionX,positionY,positionZ,speed,power,torque,tireTempFrontLeft,tireTempFrontRight,tireTempRearLeft,tireTempRearRight,boost,fuel,distanceTraveled,bestLap,lastLap,currentLap,currentRaceTime,lapNumber,racePosition,accel,brake,clutch,handBrake,gear,steer,normalizedDrivingLine
1,600422906,7999.9951171875,799.99951171875,3390.37451171875,13.663240432739258,-0.4533931016921997,-1.136681079864502,0.14911389350891113,0.023063361644744873,17.69763946533203,0.0179261714220047,0.9310838580131531,-0.028108280152082443,-1.3387547731399536,0.0014704489149153233,-0.062202561646699905,0.5294138789176941,0.344804584980011,0.313812792301178,0.10370959341526031,0.0002592183300293982,0.019088560715317726,-0.015575150959193707,-0.04407927393913269,56.64385223388672,51.925296783447266,51.36301803588867,46.84641647338867,0,0,0,0,0,0,0,0,0,0,0,0,1.2029844522476196,1.3387893438339233,0.4808298349380493,0.5021313428878784,1.2029844522476196,1.3389253616333008,0.481082022190094,0.5040623545646667,-0.0013970620930194855,-0.016852382570505142,-0.007143683731555939,-0.020966194570064545,2409,7,944,1,6,-303.8011169433594,20.4312686920166,-1012.3366088867188,17.69828224182129,-7427.7998046875,-20.91585922241211,144.32080078125,145.3874969482422,183.9884796142578,183.9884796142578,-10.947441101074219,0.9957743287086487,281.7426452636719,0,0,9.783462524414062,10.832372665405273,0,1,20,0,0,0,1,127,-65
1,600423421,7999.9951171875,799.99951171875,4136.5263671875,12.473075866699219,-0.21158254146575928,5.996363639831543,-0.5740680694580078,-0.08653628826141357,18.501144409179688,0.0024862587451934814,0.87449049949646,0.004106324166059494,-0.8840793967247009,0.02278941683471203,-0.05170503631234169,0.6008891463279724,0.41689813137054443,0.5920218229293823,0.4224368631839752,-0.023081906139850616,-0.0490398183465004,0.602081298828125,1.476922869682312,58.257266998291016,53.40425491333008,58.38538360595703,61.04981231689453,0,0,0,0,0,0,0,0,0,0,0,0,1.6156015396118164,1.740787148475647,0.7686018943786621,0.7974767088890076,1.6157664060592651,1.7414778470993042,0.9763455986976624,1.678472638130188,0.0045867860317230225,-0.010816778987646103,0.011159449815750122,0.000002600252628326416,2409,7,944,1,6,-311.9246520996094,20.297161102294922,-1008.3192749023438,18.510250091552734,189260.359375,437.6376037597656,148.51309204101562,149.0572967529297,182.61575317382812,182.61575317382812,0.31693172454833984,0.9957016110420227,291.3759765625,0,0,10.300070762634277,11.348981857299805,0,1,191,0,0,0,1,127,-15
1,600423937,7999.9951171875,799.99951171875,6073.85498046875,5.590240478515625,-0.019397377967834473,8.049792289733887,-5.683897495269775,-0.07954466342926025,20.56076431274414,0.015391786582767963,1.0018125772476196,-0.04850030317902565,-0.34941238164901733,0.051378946751356125,-0.030656108632683754,0.5041628479957581,0.38480475544929504,0.556674063205719,0.44718217849731445,-0.005896609276533127,-0.00759876100346446,3.17767596244812,3.9817354679107666,67.04747772216797,62.076683044433594,88.60359954833984,88.17459869384766,0,0,0,0,0,0,0,0,0,0,0,0,-0.39846664667129517,0.0010829936945810914,2.645172595977783,2.880232334136963,0.39851027727127075,0.007675548549741507,4.134557247161865,4.914260387420654,-0.0035110488533973694,-0.013503607362508774,0.008833952248096466,0.0016305744647979736,2409,7,944,1,6,-318.8808898925781,19.912914276123047,-1000.8208618164062,21.332090377807617,309871.875,487.91082763671875,152.054931640625,153.1009979248047,190.5966796875,190.5966796875,9.976733207702637,0.9954677820205688,301.47930908203125,0,0,10.816709518432617,11.865619659423828,0,1,195,0,0,0,1,-127,12
1,600424453,7999.9951171875,799.99951171875,6315.5107421875,10.344219207763672,0.31412461400032043,8.492362022399902,-7.276675224304199,-0.07379293441772461,22.512136459350586,-0.02137867733836174,0.030583644285798073,0.048074252903461456,-0.1454460471868515,0.06049824878573418,-0.019599713385105133,0.5745484828948975,0.4726412892341614,0.5979018211364746,0.4628983736038208,-0.006160797085613012,-0.007658951450139284,2.8482987880706787,3.301623582839966,72.3586654663086,72.01317596435547,88.40483856201172,95.16767120361328,0,0,0,0,0,0,0,0,0,0,0,0,1.0895781517028809,1.219484567642212,2.794050455093384,2.5673811435699463,1.0895955562591553,1.2195086479187012,3.9899277687072754,4.182363510131836,0.0023815706372261047,-0.006150010973215103,0.011546291410923004,0.002664528787136078,2409,7,944,1,6,-324.99493408203125,19.308942794799805,-990.937255859375,23.659072875976562,260190.1875,393.3011169433594,152.60311889648438,153.2864990234375,211.924560546875,211.924560546875,9.995980262756348,0.9952353239059448,313.0214538574219,0,0,11.333313941955566,12.382225036621094,0,1,169,0,0,0,1,104,27
1,600424968,7999.9951171875,799.99951171875,6041.19189453125,1.670785903930664,-0.016758590936660767,7.0796051025390625,-3.7038142681121826,-0.15816783905029297,26.375774383544922,0.003273943904787302,-0.4542687237262726,-0.009287824854254723,-0.1572503298521042,0.061844807118177414,-0.02945544384419918,0.49628886580467224,0.4831903278827667,0.5481457114219666,0.5197316408157349,-0.012614578939974308,-0.015221129171550274,1.3092095851898193,1.168432354927063,80.92024993896484,83.27005004882812,86.54080963134766,87.52517700195312,0,0,0,0,0,0,0,0,0,0,0,0,-0.576107382774353,-0.37353768944740295,1.0183228254318237,1.0009546279907227,0.5762454271316528,0.37384769320487976,1.6586172580718994,1.5385526418685913,-0.004170257598161697,-0.005266852676868439,0.00827287882566452,0.006403543055057526,2409,7,944,1,6,-329.3790588378906,18.525527954101562,-978.8114013671875,26.635025024414062,257853.375,407.279052734375,154.43710327148438,154.84681701660156,222.37371826171875,222.37371826171875,9.995980262756348,0.9950017333030701,325.8963928222656,0,0,11.849949836730957,12.898860931396484,0,1,169,0,0,0,1,-13,14
1,600425484,7999.9951171875,799.99951171875,6450.43505859375,-2.3711018562316895,0.04766911268234253,10.976888656616211,0.04813861846923828,-0.280295729637146,31.35125160217285,-0.016049060970544815,-0.0627346858382225,0.0004615616053342819,-0.2988784611225128,0.05491580069065094,-0.041831985116004944,0.4768485426902771,0.5210854411125183,0.5782327651977539,0.615896463394165,-0.011085068807005882,-0.011049233376979828,0.5658676624298096,0.462748646736145,96.27910614013672,96.60289764404297,94.65168762207031,93.52288055419922,0,0,0,0,0,0,0,0,0,0,0,0,-0.1402571201324463,-0.1369827538728714,-0.04542803019285202,-0.025760123506188393,0.1406944841146469,0.1374276578426361,0.5676882266998291,0.4634650945663452,-0.005797781050205231,-0.002094309777021408,0.01025228202342987,0.012730143964290619,2409,7,944,1,6,-333.48895263671875,17.553863525390625,-964.5286865234375,31.352540969848633,439547.25,650.781982421875,154.43470764160156,154.759033203125,219.12603759765625,219.12603759765625,9.995980262756348,0.994707465171814,340.8260803222656,0,0,12.366568565368652,13.41547966003418,0,1,255,0,0,0,1,-127,-18
1,600426000,7999.9951171875,799.99951171875,5641.6474609375,-0.13498520851135254,-0.25162458419799805,9.204399108886719,0.021562576293945312,-0.3231971263885498,35.08770751953125,-0.02263055182993412,0.001266524544917047,0.0024973852559924126,-0.33724063634872437,0.05660015344619751,-0.04399210587143898,0.40087562799453735,0.38640764355659485,0.5054117441177368,0.5071766376495361,-0.00694963289424777,-0.007198271807283163,0.30462849140167236,0.2922162413597107,108.01853942871094,108.00836181640625,102.23065948486328,102.01510620117188,0,0,0,0,0,0,0,0,0,0,0,0,-0.0067971814423799515,-0.006159090902656317,-0.014098710380494595,0.004213065840303898,0.009721063077449799,0.009473621845245361,0.30495455861091614,0.29224660992622375,-0.012158166617155075,-0.01336941123008728,0.005461446940898895,0.005577556788921356,2409,7,944,1,6,-338.9798889160156,16.464794158935547,-948.3129272460938,35.089202880859375,409529.34375,693.3485717773438,154.40994262695312,154.67544555664062,215.48995971679688,215.48995971679688,9.397217750549316,0.9944364428520203,358.02178955078125,0,0,12.8831787109375,13.932089805603027,0,1,255,0,0,0,2,0,-44
1,600426515,7999.9951171875,799.99951171875,6370.076171875,-7.540616989135742,1.2414175271987915,8.719450950622559,0.4392366409301758,-0.2758769989013672,39.687503814697266,0.001622366951778531,-0.1539558470249176,0.02035318687558174,-0.39455312490463257,0.049641236662864685,-0.048092350363731384,0.5382161736488342,0.6668268442153931,0.6111805438995361,0.7513083219528198,-0.008616520091891289,-0.003554347902536392,0.27574676275253296,0.19461947679519653,121.72867584228516,122.6036605834961,114.78495025634766,114.07286071777344,0,0,0,0,0,0,0,0,0,0,0,0,-0.05295617878437042,-0.04758766293525696,-0.1549999862909317,-0.1391981542110443,0.05365259572863579,0.04772021621465683,0.3163246214389801,0.239275723695755,-0.000660136342048645,0.01010703295469284,0.012419886887073517,0.021638773381710052,2409,7,944,1,6,-345.566650390625,15.236799240112305,-930.1666870117188,39.69089126586914,437809.75,656.6423950195312,154.42291259765625,154.64651489257812,212.24737548828125,212.24737548828125,9.995779991149902,0.9940571784973145,377.33355712890625,0,0,13.39980697631836,14.44871711730957,0,1,255,0,0,0,2,0,-63
1,600427031,7999.9951171875,799.99951171875,5737.25390625,0.08122497797012329,-0.912811815738678,1.6450248956680298,0.023985862731933594,-0.22441649436950684,43.190452575683594,0.07324447482824326,0.0036234105937182903,-0.01277365442365408,-0.39964449405670166,0.05991894379258156,-0.04632426053285599,0.5186113715171814,0.5060633420944214,0.5748786926269531,0.5774897336959839,0.00023448525462299585,0.00021271391597110778,0.00031405151821672916,0.000294343481073156,133.0144805908203,132.99581909179688,120.40367889404297,120.38687133789062,0,0,0,0,0,0,0,0,0,0,0,0,-0.007337282411754131,-0.004165212623775005,-0.01217576302587986,0.006025271024554968,0.007341028191149235,0.004170640837401152,0.012179812416434288,0.006032456643879414,-0.002301432192325592,-0.0033519454300403595,0.010031618177890778,0.010203398764133453,2409,7,944,1,6,-353.9130859375,13.935770988464355,-910.3043212890625,43.191043853759766,-63911.7265625,-106.0308609008789,154.42269897460938,154.59341430664062,209.31785583496094,209.31785583496094,-6.479433059692383,0.9937271475791931,398.8492736816406,0,0,13.916425704956055,14.965336799621582,0,1,255,0,0,0,3,0,-60
1,600427562,7999.9951171875,799.99951171875,5925.7265625,0.6640197038650513,0.6415490508079529,7.001117706298828,0.05081748962402344,-0.3212127685546875,46.466957092285156,0.02097637765109539,0.03633926436305046,0.018142612650990486,-0.39729762077331543,0.055603884160518646,-0.04546894505620003,0.5661332011222839,0.5643218159675598,0.6618300676345825,0.6596656441688538,-0.005492545664310455,-0.004125527106225491,0.12747490406036377,0.13648651540279388,143.1148681640625,142.95408630371094,132.0124969482422,132.05162048339844,0,0,0,0,0,0,0,0,0,0,0,0,0.10017671436071396,0.10654577612876892,-0.01206184085458517,0.008478131145238876,0.10032717883586884,0.10662561655044556,0.1280442774295807,0.13674958050251007,0.0016770511865615845,0.0015254020690917969,0.015752077102661133,0.015609681606292725,2409,7,944,1,6,-362.8531188964844,12.442048072814941,-889.072265625,46.46809768676758,424999.375,685.0614624023438,154.4439697265625,154.5667724609375,206.67144775390625,206.67144775390625,9.979472160339355,0.9933993816375732,422.0634460449219,0,0,14.433060646057129,15.48197078704834,0,1,255,0,0,0,3,26,-52
